Player,Career VORP,Seasons Played,Total Career Games,Points per Game,Rebounds per Game,Assists per Game,Field Goal %,Minutes per Game,Field Goals per Game,Championships,HOF?
Álex Abrines,0.1,3,174,5.3,1.4,0.5,38.7%,16,1.8,0,FALSE
Jaylen Adams,-0.3,2,41,2.7,1.5,1.6,33.1%,10.9,1,0,FALSE
LaMarcus Aldridge,33.4,16,1076,19.1,8.1,1.9,49.3%,33.7,7.7,0,FALSE
Shandon Anderson,3,10,719,7.4,3.1,1.4,45.7%,22.2,2.8,1,FALSE
Carmelo Anthony,36.7,19,1260,22.5,6.2,2.7,44.7%,34.5,8,0,FALSE
Robert Archibald,-0.3,2,44,1.2,1.6,0.4,28.3%,7.5,0.3,0,FALSE
Gilbert Arenas,22.3,11,552,20.7,3.9,5.3,42.1%,35.1,6.7,0,FALSE
James Augustine,0,2,27,1.6,1.2,0.1,51.4%,5.8,0.7,0,FALSE
Anthony Bennett,-1.3,4,151,4.4,3.1,0.5,39.2%,12.6,1.7,0,FALSE
Saddiq Bey,3.2,4,251,14.1,5,1.9,41.3%,29.5,4.7,0,FALSE
Mark Blount,-2.5,9,605,8.2,4.6,0.8,50.4%,23.1,3.3,0,FALSE
Jordan Bone,-0.2,2,24,2.8,1.2,1.1,37.8%,10.4,1.2,0,FALSE
Shawn Bradley,8.9,12,832,8.1,6.3,0.7,45.7%,23.5,3.3,0,FALSE
Isaiah Briscoe,-0.4,1,39,3.5,1.9,2.2,39.9%,14.3,1.4,0,FALSE
Anthony Brown,-0.6,3,41,3.9,2.5,0.7,32.8%,18.6,1.4,0,FALSE
Bruno Caboclo,-0.2,7,105,4.2,2.6,0.7,40.3%,12.3,1.5,0,FALSE
Jamal Cain,0.1,2,24,4.9,2.5,0.5,54.2%,13.2,1.9,0,FALSE
Kentavious Caldwell-Pope,6.6,11,783,11.5,3.1,1.8,42.5%,29.6,4.1,2,FALSE
Demetrius Calip,-0.1,1,7,1.6,0.7,1.7,22.2%,8.3,0.6,0,FALSE
Brian Cardinal,3.2,12,456,4.6,2.3,1,40.8%,14.2,1.5,1,FALSE
Geno Carlisle,0,1,6,1.3,0.2,0.2,66.7%,2.7,0.3,0,FALSE
