,Player,VORP,HOF?,PPG*SP,RPG*SP,APG*SP,MPG*SP,FGPG*SP,GPS
0,Álex Abrines,0.1,0,15.899999999999999,4.199999999999999,1.5,48.0,5.4,58.0
1,Jaylen Adams,-0.3,0,5.4,3.0,3.2,21.8,2.0,20.5
2,LaMarcus Aldridge,33.4,0,305.6,129.6,30.4,539.2,123.2,67.25
3,Shandon Anderson,3.0,0,74.0,31.0,14.0,222.0,28.0,71.9
4,Carmelo Anthony,36.7,0,427.5,117.8,51.300000000000004,655.5,152.0,66.3157894736842
5,Robert Archibald,-0.3,0,2.4,3.2,0.8,15.0,0.6,22.0
6,Gilbert Arenas,22.3,0,227.7,42.9,58.3,386.1,73.7,50.18181818181818
7,James Augustine,0.0,0,3.2,2.4,0.2,11.6,1.4,13.5
8,Anthony Bennett,-1.3,0,17.6,12.4,2.0,50.4,6.8,37.75
9,Saddiq Bey,3.2,0,56.4,20.0,7.6,118.0,18.8,62.75
10,Mark Blount,-2.5,0,73.8,41.4,7.2,207.9,29.7,67.22222222222223
11,Jordan Bone,-0.2,0,5.6,2.4,2.2,20.8,2.4,12.0
12,Shawn Bradley,8.9,0,97.19999999999999,75.6,8.399999999999999,282.0,39.599999999999994,69.33333333333333
13,Isaiah Briscoe,-0.4,0,3.5,1.9,2.2,14.3,1.4,39.0
14,Anthony Brown,-0.6,0,11.7,7.5,2.0999999999999996,55.800000000000004,4.199999999999999,13.666666666666666
15,Bruno Caboclo,-0.2,0,29.400000000000002,18.2,4.8999999999999995,86.10000000000001,10.5,15.0
16,Jamal Cain,0.1,0,9.8,5.0,1.0,26.4,3.8,12.0
17,Kentavious Caldwell-Pope,6.6,0,126.5,34.1,19.8,325.6,45.099999999999994,71.18181818181819
18,Demetrius Calip,-0.1,0,1.6,0.7,1.7,8.3,0.6,7.0
19,Brian Cardinal,3.2,0,55.199999999999996,27.599999999999998,12.0,170.39999999999998,18.0,38.0
20,Geno Carlisle,0.0,0,1.3,0.2,0.2,2.7,0.3,6.0
21,Jevon Carter,1.2,0,32.400000000000006,10.8,10.2,96.60000000000001,11.399999999999999,54.666666666666664
22,Vince Carter,57.9,0,367.4,94.6,68.2,662.2,132.0,70.04545454545455
23,Robert Churchwell,0.0,0,1.5,0.8,0.3,5.0,0.8,4.0
24,Tyler Cook,-0.2,0,11.399999999999999,7.5,0.8999999999999999,31.799999999999997,4.5,21.666666666666668
25,Chubby Cox,-0.2,0,4.1,1.4,0.9,11.1,1.9,7.0
26,Pat Cummings,-1.9,0,115.19999999999999,67.19999999999999,14.399999999999999,255.60000000000002,48.0,56.916666666666664
27,Quintin Dailey,0.3,0,141.0,25.0,23.0,230.0,56.0,52.8
28,Antonio Daniels,10.1,0,106.39999999999999,25.2,47.6,316.40000000000003,36.4,62.285714285714285
29,Troy Daniels,-0.4,0,46.199999999999996,9.1,3.5,104.3,16.099999999999998,48.42857142857143
30,Sasha Danilović,0.8,0,25.6,4.8,4.0,62.2,8.8,37.5
31,Johnny Davis,6.4,0,129.0,20.0,45.0,283.0,49.0,75.0
32,Terence Davis,1.2,0,32.0,10.8,5.2,64.4,11.6,56.75
33,DeMar DeRozan,26.0,0,316.5,66.0,60.0,516.0,114.0,70.2
34,Vinny Del Negro,6.1,0,109.19999999999999,27.599999999999998,38.400000000000006,298.79999999999995,44.400000000000006,64.25
35,Luguentz Dort,-1.6,0,66.0,19.5,8.0,147.5,22.0,46.8
36,Chris Duarte,-0.9,0,29.099999999999998,9.3,4.800000000000001,67.5,10.5,40.0
